# Type       : particleCollectorFmg
# Source     : particleCollectorFmg
# Bins       : 42
# Total area : 10.7768
# Geometry   :
#	Bin	(Centre_x Centre_y Centre_z)	Area
#	0	(0.8763 6.9476 0.8763)	0.284516
#	1	(0.3429 6.9476 0.8763)	0.284516
#	2	(-0.3429 6.9476 0.8763)	0.284516
#	3	(-0.8763 6.9476 0.8763)	0.284516
#	4	(0.8763 6.9476 0.3429)	0.284516
#	5	(0.3429 6.9476 0.3429)	0.284516
#	6	(-0.3429 6.9476 0.3429)	0.284516
#	7	(-0.8763 6.9476 0.3429)	0.284516
#	8	(0.8763 6.9476 -0.3429)	0.284516
#	9	(0.3429 6.9476 -0.3429)	0.284516
#	10	(-0.3429 6.9476 -0.3429)	0.284516
#	11	(-0.8763 6.9476 -0.3429)	0.284516
#	12	(0.8763 6.9476 -0.8763)	0.284516
#	13	(0.3429 6.9476 -0.8763)	0.284516
#	14	(-0.3429 6.9476 -0.8763)	0.284516
#	15	(-0.8763 6.9476 -0.8763)	0.284516
#	16	(0 6.9476 0.6096)	0.16258
#	17	(0.6096 6.9476 0)	0.16258
#	18	(-0.6096 6.9476 0)	0.16258
#	19	(0 6.9476 -0.6096)	0.16258
#	20	(0.8763 6.9476 2.0955)	0.284516
#	21	(0.3429 6.9476 2.0955)	0.284516
#	22	(-0.3429 6.9476 2.0955)	0.284516
#	23	(-0.8763 6.9476 2.0955)	0.284516
#	24	(0.8763 6.9476 1.5621)	0.284516
#	25	(0.3429 6.9476 1.5621)	0.284516
#	26	(-0.3429 6.9476 1.5621)	0.284516
#	27	(-0.8763 6.9476 1.5621)	0.284516
#	28	(0.8763 6.9476 -1.5621)	0.284516
#	29	(0.3429 6.9476 -1.5621)	0.284516
#	30	(-0.3429 6.9476 -1.5621)	0.284516
#	31	(-0.8763 6.9476 -1.5621)	0.284516
#	32	(0.8763 6.9476 -2.0955)	0.284516
#	33	(0.3429 6.9476 -2.0955)	0.284516
#	34	(-0.3429 6.9476 -2.0955)	0.284516
#	35	(-0.8763 6.9476 -2.0955)	0.284516
#	36	(0 6.9476 1.8288)	0.16258
#	37	(0.5715 6.9476 1.2192)	0.174193
#	38	(-0.5715 6.9476 1.2192)	0.174193
#	39	(0.5715 6.9476 -1.2192)	0.174193
#	40	(-0.5715 6.9476 -1.2192)	0.174193
#	41	(0 6.9476 -1.8288)	0.16258
#
# Output format:
#	Time	bin_0	mass[0]	massFlowRate[0]
#	Time	bin_1	mass[1]	massFlowRate[1]
#	Time	bin_2	mass[2]	massFlowRate[2]
#	Time	bin_3	mass[3]	massFlowRate[3]
#	Time	bin_4	mass[4]	massFlowRate[4]
#	Time	bin_5	mass[5]	massFlowRate[5]
#	Time	bin_6	mass[6]	massFlowRate[6]
#	Time	bin_7	mass[7]	massFlowRate[7]
#	Time	bin_8	mass[8]	massFlowRate[8]
#	Time	bin_9	mass[9]	massFlowRate[9]
#	Time	bin_10	mass[10]	massFlowRate[10]
#	Time	bin_11	mass[11]	massFlowRate[11]
#	Time	bin_12	mass[12]	massFlowRate[12]
#	Time	bin_13	mass[13]	massFlowRate[13]
#	Time	bin_14	mass[14]	massFlowRate[14]
#	Time	bin_15	mass[15]	massFlowRate[15]
#	Time	bin_16	mass[16]	massFlowRate[16]
#	Time	bin_17	mass[17]	massFlowRate[17]
#	Time	bin_18	mass[18]	massFlowRate[18]
#	Time	bin_19	mass[19]	massFlowRate[19]
#	Time	bin_20	mass[20]	massFlowRate[20]
#	Time	bin_21	mass[21]	massFlowRate[21]
#	Time	bin_22	mass[22]	massFlowRate[22]
#	Time	bin_23	mass[23]	massFlowRate[23]
#	Time	bin_24	mass[24]	massFlowRate[24]
#	Time	bin_25	mass[25]	massFlowRate[25]
#	Time	bin_26	mass[26]	massFlowRate[26]
#	Time	bin_27	mass[27]	massFlowRate[27]
#	Time	bin_28	mass[28]	massFlowRate[28]
#	Time	bin_29	mass[29]	massFlowRate[29]
#	Time	bin_30	mass[30]	massFlowRate[30]
#	Time	bin_31	mass[31]	massFlowRate[31]
#	Time	bin_32	mass[32]	massFlowRate[32]
#	Time	bin_33	mass[33]	massFlowRate[33]
#	Time	bin_34	mass[34]	massFlowRate[34]
#	Time	bin_35	mass[35]	massFlowRate[35]
#	Time	bin_36	mass[36]	massFlowRate[36]
#	Time	bin_37	mass[37]	massFlowRate[37]
#	Time	bin_38	mass[38]	massFlowRate[38]
#	Time	bin_39	mass[39]	massFlowRate[39]
#	Time	bin_40	mass[40]	massFlowRate[40]
#	Time	bin_41	mass[41]	massFlowRate[41]
1	0	0.0544526	0.0544526
1	1	0.0779528	0.0779528
1	2	0.0928254	0.0928254
1	3	0.0522635	0.0522635
1	4	0.128689	0.128689
1	5	0.452242	0.452242
1	6	0.482681	0.482681
1	7	0.138839	0.138839
1	8	0.12134	0.12134
1	9	0.469566	0.469566
1	10	0.473266	0.473266
1	11	0.128542	0.128542
1	12	0.0447615	0.0447615
1	13	0.0655096	0.0655096
1	14	0.0761362	0.0761362
1	15	0.0500216	0.0500216
1	16	0.386965	0.386965
1	17	0.593588	0.593588
1	18	0.607763	0.607763
1	19	0.394415	0.394415
1	20	0.00328724	0.00328724
1	21	0.00596337	0.00596337
1	22	0.00544412	0.00544412
1	23	0.00415534	0.00415534
1	24	0.00627849	0.00627849
1	25	0.0109973	0.0109973
1	26	0.0147105	0.0147105
1	27	0.0101804	0.0101804
1	28	0.0114982	0.0114982
1	29	0.0144643	0.0144643
1	30	0.0141053	0.0141053
1	31	0.0072795	0.0072795
1	32	0.00359704	0.00359704
1	33	0.00673166	0.00673166
1	34	0.00373512	0.00373512
1	35	0.00446535	0.00446535
1	36	0.0060076	0.0060076
1	37	0.0183153	0.0183153
1	38	0.0209281	0.0209281
1	39	0.0176878	0.0176878
1	40	0.0181331	0.0181331
1	41	0.00790266	0.00790266
2	0	0.0515653	0.0515653
2	1	0.0735434	0.0735434
2	2	0.0763747	0.0763747
2	3	0.05527	0.05527
2	4	0.137464	0.137464
2	5	0.481002	0.481002
2	6	0.482613	0.482613
2	7	0.126411	0.126411
2	8	0.139917	0.139917
2	9	0.46392	0.46392
2	10	0.484633	0.484633
2	11	0.119219	0.119219
2	12	0.0533984	0.0533984
2	13	0.0782525	0.0782525
2	14	0.0737681	0.0737681
2	15	0.0509455	0.0509455
2	16	0.403224	0.403224
2	17	0.612361	0.612361
2	18	0.607512	0.607512
2	19	0.373645	0.373645
2	20	0.00488411	0.00488411
2	21	0.00404963	0.00404963
2	22	0.00369934	0.00369934
2	23	0.00239386	0.00239386
2	24	0.0117666	0.0117666
2	25	0.0154529	0.0154529
2	26	0.0167521	0.0167521
2	27	0.011874	0.011874
2	28	0.0085509	0.0085509
2	29	0.0145728	0.0145728
2	30	0.0168281	0.0168281
2	31	0.0131972	0.0131972
2	32	0.00385625	0.00385625
2	33	0.00627816	0.00627816
2	34	0.00600181	0.00600181
2	35	0.00657649	0.00657649
2	36	0.00625053	0.00625053
2	37	0.016092	0.016092
2	38	0.014968	0.014968
2	39	0.0147704	0.0147704
2	40	0.0139403	0.0139403
2	41	0.00664242	0.00664242
